haskell-cmark-gfm 0.2.3-12
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-96
haskell-commonmark 0.2.1.1-24
haskell-commonmark-extensions 0.2.3-9
haskell-commonmark-pandoc 0.2.1.2-40
haskell-comonad 5.0.8-142
haskell-conduit 1.3.4.2-53
haskell-conduit-extra 1.3.5-232
haskell-connection 0.3.1-194
haskell-cookie 0.4.5-12
haskell-cryptohash-sha256 0.11.102.1-34
haskell-cryptonite 0.30-13
haskell-data-default 0.7.1.1-222
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-235
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-45
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-145
haskell-dlist 1.0-157
haskell-doclayout 0.3.1.1-12
haskell-doctemplates 0.10.0.1-59
haskell-echo 0.1.4-4
haskell-ed25519 0.0.5.0-24
haskell-edit-distance 0.2.2.1-150
haskell-emojis 0.1.2-17
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-file-embed 0.0.15.0-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-33
haskell-hackage-security 0.6.0.1-289
haskell-haddock-library 1.10.0-128
haskell-hashable 1.4.0.2-4
haskell-hourglass 0.2.12-189
haskell-hs-bibutils 6.10.0.0-93
haskell-hslua 2.1.0-13
haskell-hslua-aeson 2.1.0-13
haskell-hslua-classes 2.1.0-13
haskell-hslua-core 2.1.0-13
haskell-hslua-marshalling 2.1.0-13
haskell-hslua-module-path 1.0.1-13
haskell-hslua-module-system 1.0.1-13
haskell-hslua-module-text 1.0.1-13
haskell-hslua-module-version 1.0.1-13
haskell-hslua-objectorientation 2.1.0-13
haskell-hslua-packaging 2.1.0-13
haskell-hsyaml 0.2.1.1-1
haskell-hsyaml-aeson 0.2.0.1-53
haskell-http 4000.4.0-19
haskell-http-client 0.7.11-21
haskell-http-client-tls 0.3.6.1-13
haskell-http-types 0.12.3-233
haskell-hxt 9.3.1.22-68
haskell-hxt-charproperties 9.5.0.0-4
haskell-hxt-regex-xmlschema 9.2.0.7-5
haskell-hxt-unicode 9.0.2.4-25
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-21
haskell-ipynb 0.2-14
haskell-jira-wiki-markup 1.4.0-56
haskell-juicypixels 3.3.7-13
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-217
haskell-lpeg 1.0.2-7
haskell-lua 2.1.0-7
haskell-lukko 0.1.1.3-90
haskell-memory 0.17.0-9
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-50
haskell-network 3.1.2.7-21
haskell-network-uri 2.6.4.1-78
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-lua-marshal 0.1.5.1-13
haskell-pandoc-types 1.22.2-11
haskell-pem 0.2.4-226
haskell-pretty-show 1.10-13
haskell-primitive 0.7.3.0-48
haskell-quickcheck 2.14.2-309
haskell-random 1.2.1.1-7
haskell-regex-base 0.94.0.2-2
haskell-regex-pcre 0.95.0.0-13
haskell-regex-posix 0.96.0.1-3
haskell-resolv 0.1.2.0-144
haskell-resourcet 1.2.5-1
haskell-rfc5051 0.2-8
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-56
haskell-setenv 0.1.1.3-25
haskell-sha 1.6.4.4-19
haskell-skylighting 0.12.3-15
haskell-skylighting-core 0.12.3-15
haskell-socks 0.6.1-173
haskell-split 0.2.3.4-188
haskell-splitmix 0.1.0.4-62
haskell-streaming-commons 0.2.2.4-17
haskell-strict 0.4.0.1-113
haskell-syb 0.7.2.1-134
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-169
haskell-tar 0.5.1.1-115
haskell-temporary 1.3-403
haskell-texmath 0.12.5-11
haskell-text-conversions 0.3.1.1-3
haskell-text-icu 0.8.0.1-14
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-40
haskell-th-lift 0.8.2-11
haskell-th-lift-instances 0.1.19-29
haskell-these 1.1.1.1-140
haskell-time-compat 1.9.6.1-40
haskell-tls 1.5.7-26
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.8.0-29
haskell-unicode-collation 0.1.3.2-1
haskell-unicode-data 0.3.0-10
haskell-unicode-transforms 0.4.0.1-8
haskell-uniplate 1.6.13-121
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-5
haskell-utf8-string 1.0.2-93
haskell-uuid-types 1.0.5-60
haskell-vector 0.12.3.1-84
haskell-vector-algorithms 0.8.0.4-108
haskell-x509 1.7.6-16
haskell-x509-store 1.6.9-23
haskell-x509-system 1.6.7-26
haskell-x509-validation 1.6.12-28
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-107
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-24
haskell-zip-archive 0.4.2.1-13
haskell-zlib 0.6.3.0-3
haveged 1.9.18-1
hdf5 1.12.1-1
hdparm 9.63-2
helix 22.03-1
hexchat 2.16.1-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
hplip 1:3.22.4-1
htop 3.2.0-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwdata 0.359-1
hwinfo 21.80-2
hwloc 2.7.1-1
hyperfine 1.14.0-1
hyphen 2.8.8-3
iana-etc 20220427-1
icecream 1.3.1-1
icoutils 0.32.3-3
icu 71.1-1
id3tool 1.2a-1
igraph 0.9.8-1
ijs 0.35-3
illyria-wallpaper 1.4-1
imagemagick 7.1.0.35-1
imath 3.1.5-1
iml 1.0.5-3
imlib2 1.9.0-3
inetutils 2.2-1
iniparser 4.1-4
inkscape 1.1.2-3
intltool 0.51.0-6
inxi 3.3.16.1-1
ipp-usb 0.9.21-1
iproute2 5.17.0-3
iptables 1:1.8.8-1
iputils 20211215-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
ipython 8.3.0-1
iso-codes 4.9.0-1
iw 5.16-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.3-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 18.0.1.1.u2-1
jdk8-openjdk 8.332.u09-1
jemalloc 1:5.2.1-6
jfsutils 1.1.15-8
jitsi 2.11.5633-1
jmol 14.32.57-1
jmtpfs 0.5-2
jq 1.6-4
jre-openjdk 18.0.1.1.u2-1
jre-openjdk-headless 18.0.1.1.u2-1
jre8-openjdk 8.332.u09-1
jre8-openjdk-headless 8.332.u09-1
js60 60.9.0-2
js68 68.12.0-1
js78 78.15.0-4
js91 91.9.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
julia 2:1.7.2-3
jupyter-nbclient 0.6.3-1
jupyter-nbconvert 6.5.0-3
jupyter-nbformat 5.4.0-1
jupyter-notebook 6.4.11-1
jupyter-notebook-shim 0.1.0-1
jupyter-server 1.17.0-1
jupyter-widgetsnbextension 1:3.6.0-2
jupyter_console 6.4.3-1
jupyterlab 3.4.2-1
jupyterlab_pygments 0.2.2-1
jxrlib 0.2.4-1
kaccounts-integration 22.04.1-1
karchive 5.94.0-1
kauth 5.94.0-1
kbd 2.4.0-2
kbibtex 1:0.9.2-7
kbookmarks 5.94.0-1
kcmutils 5.94.0-1
kcodecs 5.94.0-1
kcompletion 5.94.0-1
kconfig 5.94.0-1
kconfigwidgets 5.94.0-1
kcoreaddons 5.94.0-1
kcrash 5.94.0-1
kdbusaddons 5.94.0-1
kdeclarative 5.94.0-1
kded 5.94.0-1
kdenlive 22.04.1-1
kernel-alive 0.5.1-1
keyutils 1.6.3-1
kfilemetadata 5.94.0-1
kglobalaccel 5.94.0-1
kguiaddons 5.94.0-1
ki18n 5.94.0-1
kibi 0.2.0-1
kicad 6.0.5-1
kiconthemes 5.94.0-1
kinit 5.94.0-1
kio 5.94.0-1
kirigami2 5.94.0-1
kitemmodels 5.94.0-1
kitemviews 5.94.0-1
kitty 0.25.0-2
kitty-shell-integration 0.25.0-2
kitty-terminfo 0.25.0-2
kjobwidgets 5.94.0-1
kmod 29-3
knewstuff 5.94.0-1
knotifications 5.94.0-1
knotifyconfig 5.94.0-1
koreader-appimage 2021.09-1
kpackage 5.94.0-1
kparts 5.94.0-1
krb5 1.19.3-1
krita 5.0.6-2
kservice 5.94.0-1
ksysguard 5.22.0-1
ksystemstats 5.24.5-1
ktexteditor 5.94.0-1
ktextwidgets 5.94.0-1
kvantum 1.0.2-1
kvantum-theme-matcha 20190810-1
kvantum-theme-matchama 20191118-1
kwallet 5.94.0-1
kwidgetsaddons 5.94.0-1
kwindowsystem 5.94.0-1
kxmlgui 5.94.0-1
l-smash 2.14.5-2
lame 3.100-3
lasem 0.4.4-2
lazygit 0.34-2
lcalc 2.0.5-1
lcms2 2.13.1-1
ldb 2:2.5.0-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
leptonica 1.82.0-2
less 1:590-1
lf-git r573.2b445aa-1
lib2geom 1.1-2
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.6.1-1
lib32-alsa-oss 1.1.8-3
lib32-alsa-plugins 1.2.6-1
lib32-at-spi2-atk 2.38.0-2
lib32-at-spi2-core 2.44.1-1
lib32-atk 2.38.0-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.6-2
lib32-colord 1.4.6-1
lib32-curl 7.83.1-1
lib32-db 5.3.28-5
lib32-dbus 1.14.0-1
lib32-dconf 0.40.0-2
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.8-1
lib32-faudio 22.05-1
lib32-flac 1.3.4-2
lib32-flex 2.6.4-2
lib32-fluidsynth 2.2.7-1
lib32-fontconfig 2:2.14.0-1
lib32-freeglut 3.2.2-2
lib32-freetype2 2.12.1-1
lib32-fribidi 1.0.12-1
lib32-gcc-libs 12.1.0-2
lib32-gdk-pixbuf2 2.42.8-1
lib32-gettext 0.21-1
lib32-glew 2.2.0-3
lib32-glib-networking 2.72.0-1
lib32-glib2 2.72.1-1
lib32-glibc 2.35-5
lib32-glu 9.0.2-3
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.4-1
lib32-gstreamer 1.20.2-1
lib32-gtk3 3.24.33-1
lib32-harfbuzz 4.2.1-1
lib32-icu 71.1-1
lib32-jack2 1.9.21-1
lib32-json-glib 1.6.6-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.3-2
lib32-lcms2 2.13.1-1
lib32-libasyncns 1:0.8+r3+g68cd5af-1
lib32-libcanberra 1:0.30+r2+gc0620e4-1
lib32-libcap 2.64-1
lib32-libcups 2.4.1-1
lib32-libdatrie 0.2.13-1
lib32-libdrm 2.4.110-1
lib32-libelf 0.187-1
lib32-libepoxy 1.5.10-1
lib32-libffi 3.4.2-4
lib32-libgcrypt 1.10.1-1
lib32-libglvnd 1.4.0-2
lib32-libgpg-error 1.45-1
lib32-libgudev 237-2
lib32-libgusb 0.3.10-2
lib32-libice 1.0.10-1
lib32-libidn2 2.3.2-1
lib32-libinstpatch 1.1.6-1
lib32-libjpeg-turbo 2.1.3-1
lib32-libldap 2.6.2-1
lib32-libltdl 2.4.7-2
lib32-libnl 3.6.0-1
lib32-libnsl 2.0.0-1
lib32-libogg 1.3.5-1
lib32-libpcap 1.10.1-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-3
lib32-libproxy 0.4.17-2
lib32-libpsl 0.21.1-2
lib32-libpulse 15.0-2
lib32-librsvg 2:2.54.3-1
lib32-libsamplerate 0.2.2-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.1.0-1
lib32-libsoup 2.74.2-1
lib32-libssh2 1.10.0-1
lib32-libtasn1 4.18.0-1
lib32-libthai 0.1.29-1
lib32-libtiff 4.3.0-2
lib32-libtirpc 1.3.2-2
lib32-libunistring 1.0-1
lib32-libunwind 1.6.2-1
lib32-libusb 1.0.26-1
lib32-libva 2.14.0-1
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 22.0.4-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-libvdpau 1.5-1
lib32-libvorbis 1.3.7-1
lib32-libx11 1.8-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.15-1
lib32-libxcomposite 0.4.5-1
lib32-libxcrypt 4.4.28-1
lib32-libxcursor 1.2.1-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 6.0.0-1
lib32-libxft 2.3.4-1
lib32-libxi 1.8-1
lib32-libxinerama 1.1.4-1
lib32-libxkbcommon 1.4.0-1
lib32-libxml2 2.9.14-1
lib32-libxmu 1.1.3-1
lib32-libxrandr 1.5.2-1
lib32-libxrender 0.9.10-2
lib32-libxshmfence 1.3-2
lib32-libxss 1.2.3-1
lib32-libxt 1.2.1-1
lib32-libxtst 1.2.3-2
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 13.0.1-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-lz4 1.9.3-1
lib32-mesa 22.0.4-1
lib32-mesa-demos 8.4.0-8
lib32-mesa-vdpau 22.0.4-1
lib32-ncurses 6.3-1
lib32-nettle 3.7.3-1
lib32-nspr 4.33-2
lib32-nss 3.78-1
lib32-openal 1.22.0-1
lib32-openssl 1:1.1.1.n-1
lib32-opus 1.3.1-2
lib32-p11-kit 0.24.1-1
lib32-pam 1.5.2-1
lib32-pango 1:1.50.7-1
lib32-pcre 8.45-1
lib32-pixman 0.40.0-1
lib32-polkit 0.120-5
lib32-portaudio 1:19.7.0-1
lib32-readline 8.1.002-1
lib32-rest 0.8.1-4
lib32-sdl2 2.0.22-1
lib32-sqlite 3.38.3-1
lib32-systemd 250.5-1
lib32-tdb 1.4.6-1
lib32-util-linux 2.38-1
lib32-vulkan-icd-loader 1.3.213-1
lib32-vulkan-intel 22.0.4-1
lib32-vulkan-radeon 22.0.4-1
lib32-wayland 1.20.0-2
lib32-xz 5.2.5-2
lib32-zlib 1.2.12-1
lib32-zstd 1.5.2-1
libaccounts-glib 1.25-7
libaccounts-qt 1.16-3
libadwaita 1:1.1.1-1
libaec 1.0.6-1
libaio 0.3.113-1
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-2
libarchive 3.6.1-1
libass 0.15.2-2
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.10.1-1
libavtp 0.2.0-1
libb2 0.98.1-2
libb64 1.2.1-4
libblastrampoline 5.1.0-1
libblockdev 2.26-3
libbluray 1.3.0-2
libbpf 0.7.0-1
libbraiding 1.1-1
libbs2b 3.1.0-7
libbsd 0.11.6-2
libburn 1.5.4-1
libbytesize 2.6-3
libcaca 0.99.beta20-1
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.64-1
libcap-ng 0.8.3-1
libcbor 0.9.0-1
